date_year,party_key,job_key,job_count
2022-01-01,71339698,83.0,6.0
2022-01-01,71339698,52.0,3.0
2022-01-01,71339698,125.0,10.0
2022-01-01,8960909,,
2022-01-01,14356813,114.0,1.0
2022-01-01,71443550,,
2022-01-01,17085438,,
2022-01-01,2885573,,
2022-01-01,7283652,,
2022-01-01,1870360,,
2022-01-01,3204669,6.0,1.0
2022-01-01,10742409,81.0,1.0
2022-01-01,10742409,59.0,1.0
2022-01-01,10742409,136.0,1.0
2022-01-01,27038131,,
2022-01-01,3091805,,
2022-01-01,3254763,,
2022-01-01,17254353,,
2022-01-01,71443380,,
2022-01-01,26595940,4.0,1.0
2022-01-01,27026922,,
2022-01-01,6695205,,
2022-01-01,9607684,,
2022-01-01,71443347,,
2022-01-01,17313155,,
2022-01-01,71339485,,
2022-01-01,10997113,,
2022-01-01,7218443,,
2022-01-01,71339990,,
2022-01-01,70869553,,
2022-01-01,5081068,,
2022-01-01,409171,95.0,10.0
2022-01-01,409171,93.0,3.0
2022-01-01,409171,145.0,10.0
2022-01-01,409171,156.0,1.0
2022-01-01,409171,26.0,1.0
2022-01-01,409171,112.0,1.0
2022-01-01,3116603,,
2022-01-01,71339655,,
2022-01-01,3217116,,
2022-01-01,7118317,,
2022-01-01,3221199,,
2022-01-01,71339752,1.0,1.0
2022-01-01,71339922,,
2022-01-01,17335191,,
2022-01-01,17084997,,
2022-01-01,26673908,110.0,1.0
2022-01-01,26673908,19.0,2.0
2022-01-01,71443444,,
2022-01-01,71340009,,
2022-01-01,71339612,13.0,1.0
2022-01-01,17212596,,
2022-01-01,3251501,,
2022-01-01,71443177,,
2022-01-01,26582406,80.0,1.0
2022-01-01,3143848,,
2022-01-01,71339728,54.0,1.0
2022-01-01,71339728,148.0,1.0
2022-01-01,71339728,28.0,2.0
2022-01-01,71339728,23.0,2.0
2022-01-01,2749947,,
2022-01-01,8288909,8.0,1.0
2022-01-01,8288909,37.0,1.0
2022-01-01,8288909,92.0,1.0
2022-01-01,7986858,,
2022-01-01,2790840,,
2022-01-01,68954263,,
2022-01-01,7195389,,
2022-01-01,71443355,36.0,1.0
2022-01-01,71339892,,
2022-01-01,4616421,,
2022-01-01,71339817,,
